cid,request.time,timezone,phoneos,configmodule,startTs,startUTCtime,traceid
0MKET_oKAqnEmriUXV2EOL3NCNuNatbX,2021-03-24T12:17:11.492Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1612183824,2021/2/1 12:50,1616588231371
0MGfOWD8rIOghyIZRmzRyJSnAd-UBowN,2021-03-24T12:33:15.447Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1607261681,2020/12/6 13:34,1616589195132
0MJ7szFb5jw21IoypVTePZes0-vDoN6T,2021-03-24T12:35:53.974Z,America/Toronto,iOS 14.4,WiFiBTOnboarding_AirPurifier_Core200S_US,1614945611,2021/3/5 12:00,1616589346886
0MJCbMCIekHpmmK7VA1paD8J0bUKbs45,2021-03-24T12:41:02.837Z,America/New_York,Android 11,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1611115244,2021/1/20 4:00,1616589664225
0MKNA4ZYmWGfwpgksCUxrob566Iuz_9s,2021-03-24T12:41:28.671Z,America/New_York,Android 11,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1611063027,2021/1/19 13:30,1616589690091
0MF9F-YPXM_e4SG4KdenqngV__CkkYS6,2021-03-24T12:54:31.640Z,America/Chicago,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1611324028,2021/1/22 14:00,1616590471460
0MF0kNv_29Vq6vt6tPishdgRmyCGUnG1,2021-03-24T13:15:38.179Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1606997718,2020/12/3 12:15,1616591737977
0MKXDgN5O2Jab6TfsryOEdU5HK2tN2Tl,2021-03-24T13:27:36.120Z,America/Chicago,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1610775028,2021/1/16 5:30,1616592455956
0MG4h_hkpLFa_0-Y7_tLdRG1wzHH0RQz,2021-03-24T13:43:10.405Z,America/Los_Angeles,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1614688252,2021/3/2 12:30,1616593390193
0MLyzyr4XF8zGdJfX5QL41SA4Pz9Wt9A,2021-03-24T14:06:57.040Z,America/New_York,Android 11,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1613142039,2021/2/12 15:00,1616594815923
0MCvcgHgGuYEoAn8VfjxqGvccHIPAfwt,2021-03-24T14:20:54.697Z,US/Pacific,Android 11,WiFi_Outlet_ESW10-USA,1608216338,2020/12/17 14:45,1616595654136
0MDD5MnCklmsxXJlBkFP4cD3FSIvFRWp,2021-03-24T14:44:22.649Z,America/Los_Angeles,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1612192202,2021/2/1 15:10,1616597062010
0MFT1yXXSFeylVOr-5TQX-ySsJd0YuPD,2021-03-24T14:53:20.894Z,America/Los_Angeles,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1613242826,2021/2/13 19:00,1616597594722
0MG42P1pX32vgmNjIruY_fQes-hKuoBC,2021-03-24T15:00:03.704Z,America/Los_Angeles,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1614564007,2021/3/1 2:00,1616598003319
0MGTHGbdgxVnrERbvD4TS78r_7CF8303,2021-03-24T15:08:49.490Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1609599604,2021/1/2 15:00,1616598529220
vsaqf1b6436511eb879000163e0cf75c,2021-03-24T15:30:22.109Z,Asia/Tokyo,iOS 14.4,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_JP,1612627245,2021/2/6 16:00,1616599821674
0MDU2NZ5PFh2uzMVmNbn5AN5ymG6BPkb,2021-03-24T15:34:18.223Z,America/Los_Angeles,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1613313006,2021/2/14 14:30,1616600057824
0MKm-J26m0sGIvHKBUU50d5MXqhCZQMe,2021-03-24T15:44:02.734Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1614373232,2021/2/26 21:00,1616600642544
0M-In3m0jHf0UchqzPwAKsC2IaPHkKiP,2021-03-24T16:19:47.848Z,America/Cancun,iOS 14.0,WiFi_Outlet_ESW10-USA,1610008250,2021/1/7 8:30,1616602787546
0MLHP0Y09G2Ozi5uKkqzQTEaVagovvZh,2021-03-24T16:28:37.582Z,America/Los_Angeles,iOS 14.4,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1611561607,2021/1/25 8:00,1616603317287
0MG9qECVzIMuUjvbRQkO2zavDuUutbrD,2021-03-24T17:01:54.847Z,America/Indiana/Indianapolis,Android 11,WiFiBTOnboarding_AirPurifier_Core200S_US,1615129215,2021/3/7 15:00,1616605315066
0MG4IBdikuu9oPDwzwGdInPWBJ8SOb3t,2021-03-24T17:20:25.220Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1613937605,2021/2/21 20:00,1616606424975
0MG4XOX0LgUVHaIxvb6hby0_MuCjDp8X,2021-03-24T17:39:17.770Z,America/Los_Angeles,iOS 14.4,WiFiBTOnboarding_AirPurifier_Core200S_US,1612026035,2021/1/30 17:00,1616607556906
0MMyKrw2R2oFxRgFWSKd-B41FCjfmDqe,2021-03-24T19:20:53.842Z,America/Vancouver,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1614622536,2021/3/1 18:15,1616613653368
0MMVDVlWCmOoifTtTrrDZ6DlNNOebRX-,2021-03-24T19:24:32.862Z,US/Pacific,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1615013723,2021/3/6 6:55,1616613872180
0MDYpsABT6s7qqMdPFYmthfcb1RCzhEy,2021-03-24T19:42:02.970Z,America/Chicago,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1607142614,2020/12/5 4:30,1616614922677
0MGBPDE8NA8YRlQQUq0hDCvV_Ioaufdz,2021-03-24T21:04:05.271Z,America/Denver,Android 11,WiFiBTOnboarding_AirPurifier_Core200S_US,1614625245,2021/3/1 19:00,1616619844900
0M-OJMT9XdlMsy9HOWmehhZiMhlSZc-F,2021-03-24T22:00:16.311Z,America/Detroit,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1603317656,2020/10/21 22:00,1616623215986
0M-QZY2TS99AiCYL5AVvEZXgZQzZ8d4j,2021-03-24T22:00:24.655Z,America/Detroit,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1603317602,2020/10/21 22:00,1616623224329
0M-OL7yB3UAfbHP7LyCAmas7yc9C4GQe,2021-03-24T22:00:46.368Z,America/Detroit,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1608073221,2020/12/15 23:00,1616623246036
0M-Qbu8lrBNlECMarDv56M5eM2-xZpZL,2021-03-24T22:00:56.382Z,America/Detroit,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1603325706,2020/10/22 0:15,1616623256061
vsaqf646621b11ebbf7400163e0cf75c,2021-03-24T22:11:23.403Z,America/Los_Angeles,Android 10,WiFiBTOnboardingNotify_AirPurifier_Core400S_US,1614095154,2021/2/23 15:45,1616623884739
0MCyS950h-CUYtd4BBKY_oyXABNW5Xto,2021-03-24T22:19:49.342Z,America/New_York,Android 9,WiFi_Outlet_ESW10-USA,1610750040,2021/1/15 22:34,1616624388753
0MKSeTEAuSOimOy56kGlhXFfRf7WYGDL,2021-03-24T22:30:02.484Z,America/Chicago,Android 10,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1612933207,2021/2/10 5:00,1616625001573
0MN7SglP5FmbyyXc1_wzeWdx2Cg_WIko,2021-03-24T22:31:58.567Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1615024808,2021/3/6 10:00,1616625118352
0MCum-j6qHby99GIoGdn1JtqG71RxO4m,2021-03-24T22:59:21.004Z,America/Chicago,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1610975760,2021/1/18 13:16,1616626760673
0MCyxN4xIfqIYIgSYvYJBYlxa4o6mFUT,2021-03-24T23:04:26.350Z,America/Chicago,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1605573949,2020/11/17 0:45,1616627066071
0M5HBrTQwTiSG_2MP8rApZ6yhhfPeamg,2021-03-24T23:14:15.374Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1603839638,2020/10/27 23:00,1616627655167
0MDXZtCLa4sPjdLQ_ShpQ-4dQokn_-Z4,2021-03-24T23:15:55.220Z,America/New_York,iOS14.4,WiFi_Outlet_ESW10-USA,1607815848,2020/12/12 23:30,1616627754971
0MFQNAnMdfj7wqkS4WPaP3KvEXKARPjq,2021-03-24T23:18:04.431Z,America/New_York,iOS 12.5.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1610677808,2021/1/15 2:30,1616627884238
0MMFexsSo_3D22epRhgK3H1AXKcgcVTK,2021-03-24T23:22:00.600Z,Europe/Berlin,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_EU,1614805259,2021/3/3 21:00,1616628120249
0MD5gRurPxj-qh4h71VX5ojCb0hQGyMQ,2021-03-24T23:23:13.227Z,America/New_York,Android 11,WiFi_Outlet_ESW10-USA,1604791246,2020/11/7 23:20,1616628192538
0MCuFrmRFjSFi8-S8L_GsAWxmWVVT6d6,2021-03-24T23:32:41.658Z,America/Chicago,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1607819404,2020/12/13 0:30,1616628761270
0MGO-nhNbJfcIgiUK-js0MMcd31XAv5K,2021-03-24T23:36:49.646Z,America/New_York,Android 11,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1612263626,2021/2/2 11:00,1616629008836
0MCvX76eXeUNZUnuFedXJCJUd17lTPPH,2021-03-25T00:04:23.115Z,America/New_York,iOS14.4,WiFi_Outlet_ESW10-USA,1606607459,2020/11/28 23:50,1616630662849
0MK6A_owYu93dFe3Pi8aZDHMx0ScjkFF,2021-03-25T00:06:20.063Z,America/Chicago,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1611320413,2021/1/22 13:00,1616630779901
0MGcqUkSv2aPrsZewkTbG2XzvoOwmUpa,2021-03-25T00:15:52.034Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1615078835,2021/3/7 1:00,1616631351770
0MD61DHG5OO0EaTa6sxdyKPgE8qpQCcb,2021-03-25T00:22:45.781Z,America/New_York,iOS 14.3,WiFi_Outlet_ESW10-USA,1608940820,2020/12/26 0:00,1616631765460
0MD61qnEo0nK-PxUT925NHBOA8DbsD4d,2021-03-25T00:25:42.570Z,America/New_York,iOS 14.3,WiFi_Outlet_ESW10-USA,1608942604,2020/12/26 0:30,1616631942289
0MCyw7HlU2CHWte9lNIqIAMPFGaOp1l9,2021-03-25T00:32:11.485Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1606876206,2020/12/2 2:30,1616632331160
0MCzL3wgOnBXJLQvV75hs5mkJavaUyuU,2021-03-25T00:41:31.385Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1606876207,2020/12/2 2:30,1616632891157
0MCzLc2sMcYE47BUdUQxSIF64m0wVcQd,2021-03-25T00:42:14.092Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1606696248,2020/11/30 0:30,1616632933879
0MCzJqVTDx6TJcBdLsYYKRYGqWyRKaru,2021-03-25T00:43:01.906Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1611661324,2021/1/26 11:42,1616632981619
0M5Hf5ztG5ocTspIneyLc-leZLVm2fL-,2021-03-25T00:58:30.660Z,America/Los_Angeles,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1602940202,2020/10/17 13:10,1616633910329
0M5HeqAdFmdJtjUy0SXKYq4dLZ4sgcwe,2021-03-25T00:58:41.398Z,America/Los_Angeles,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1602940231,2020/10/17 13:10,1616633921085
0MLSDSPRlr8YPy69w9eBIqie8Co5fziQ,2021-03-25T01:07:34.984Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1615258847,2021/3/9 3:00,1616634454892
0MGgDsEjAcPl_A4qA9uqzFcoIBIAzXbS,2021-03-25T01:08:47.203Z,America/Los_Angeles,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1609084842,2020/12/27 16:00,1616634526888
0MJ_CeS8-yU7D4sKpDIntFaUviae4FV7,2021-03-25T01:30:20.719Z,America/Los_Angeles,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1610661602,2021/1/14 22:00,1616635820248
0MLat2z0G8jc1736Z-FircYq3CLLdqKt,2021-03-25T01:38:45.787Z,America/New_York,Android 10,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1611547223,2021/1/25 4:00,1616636328426
0MG3FXThcFzrbI4mNRFM77lCN38h3ubW,2021-03-25T01:42:12.904Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1614650447,2021/3/2 2:00,1616636532548
0MKXsBjAtWvfUhdBiISNhkzuwq4DGJNR,2021-03-25T01:42:44.804Z,America/Denver,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1612616415,2021/2/6 13:00,1616636564510
0MKocTZtpOdssZzsYo2wl3WgKI2FsImC,2021-03-25T01:45:29.817Z,America/Chicago,iOS 14.4,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1614839408,2021/3/4 6:30,1616636729405
0MD5lVYf6BQSTMnrSPcELKlf0gF4tYO6,2021-03-25T01:50:58.077Z,America/Chicago,Android 11,WiFi_Outlet_ESW10-USA,1605845092,2020/11/20 4:04,1616637056549
0MG7bMSjZ5-KNoPVOXjJZwFXhjc6tzCG,2021-03-25T02:04:50.510Z,America/New_York,iOS 14.4,WiFiBTOnboarding_AirPurifier_Core200S_US,1613790055,2021/2/20 3:00,1616637890308
0MOZJFt60bRlkJjbUmqOo_cJ9vkNorea,2021-03-25T02:10:59.051Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1614823231,2021/3/4 2:00,1616638258862
0MOVFmEOfwbv32YfBuv9hiZVFnf2m4Pp,2021-03-25T02:18:34.791Z,America/Chicago,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1614517225,2021/2/28 13:00,1616638714511
0MKXOdQvbO-9OWDLhxFRboM1_Nrs-ukT,2021-03-25T02:22:21.531Z,America/Chicago,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1614999623,2021/3/6 3:00,1616638941224
